제목,날짜,기자명,본문
"尹측, 특검 경찰 신문에 반발‥""검사가 직접 신문하라""오늘 내란 특검에 출석한 윤석열 전 대통령 측이 첫 조사를 파견 경찰이 맡은 데 반발하며 이들을 수사에서 배제하라고 요구했습니",2025-06-28 14:39,기자명 없음,"오늘 내란 특검에 출석한 윤석열 전 대통령 측이 첫 조사를 파견 경찰이 맡은 데 반발하며 이들을 수사에서 배제하라고 요구했습니다. 윤 전 대통령 법률대리인단은 오전 조사가 끝난 후 배포한 입장문에서 ""공무집행을 가장한 불법행위로 고발된 경찰이 직접 조사하는 게 특검식 수사인가""라며 ""특검 사무실에서 파견된 경찰이 수사를 주도하는 것에 어떠한 민망함도 없나""라고 비판했습니다. 그러면서 ""조사에 입회한 변호인들은 검사가 직접 신문할 것과 고발된 경찰들은 현저하게 공정을 결여한 것으로, 수사에서 배제할 것을 요구한다""고 밝혔습니다. 내란 특검은 이날 오전 10시 14분부터 낮 12시 44분쯤까지 윤 전 대통령을 상대로 지난 1월 대통령경호처에 고위공직자범죄수사처의 체포영장 집행을 막으라고 지시한 혐의를 집중적으로 확인했습니다. 해당 조사는 앞서 사건을 수사해온 박창환 경찰청 중대범죄수사과장이 맡았습니다. 윤 전 대통령 측은 앞서 오전 9시 55분쯤 윤 전 대통령이 서울고검에 출석한 직후에도 입장문을 내고 특검의 공개 소환에 대해 ""정치적 선동이자 여론몰이가""라고 비판했습니다."
전북 익산 창고 화재‥상가·주택으로 번져 6천만 원 피해오늘 새벽 5시 20분쯤 전북 익산시 신동에 있는 한 창고에서 불이 나 1시간 50여 분만에 꺼졌습니다. 이 불로 창고 한,2025-06-28 13:59,기자명 없음,"[연합뉴스/전북 소방본부 제공] 오늘 새벽 5시 20분쯤 전북 익산시 신동에 있는 한 창고에서 불이 나 1시간 50여 분만에 꺼졌습니다. 이 불로 창고 한 동과 주차돼 있던 차량 두 대가 모두 탔고, 인근 상가와 주택 일부에도 불이 옮겨 붙어 6천 5백여만 원의 재산피해가 발생했습니다. 경찰과 소방당국은 정확한 화재 원인을 조사하고 있습니다."
"특검 ""尹 오전조사 종료‥체포방해 마무리되면 국무회의 조사""내란 특별검사팀이 윤석열 전 대통령에 대한 오전 조사를 마무리했습니다. 내란 특검은 오늘 낮 12시 44분쯤 언론 공지를",2025-06-28 12:49,기자명 없음,"내란 특별검사팀이 윤석열 전 대통령에 대한 오전 조사를 마무리했습니다. 내란 특검은 오늘 낮 12시 44분쯤 언론 공지를 통해 ""오전 조사는 잘 진행됐다""고 밝혔습니다. 특검은 오전 10시 14분부터 윤 전 대통령을 상대로 지난 1월 대통령경호처에 고위공직자범죄수사처의 체포영장 집행을 막으라고 지시한 혐의를 집중적으로 확인했습니다. 해당 조사는 앞서 사건을 수사해온 박창환 경찰청 중대범죄수사과장이 맡았습니다. 특검은 점심 식사 시간이 끝나면 오후에 체포 방해 혐의 사건 조사를 마무리한 뒤 비상계엄 전후 국무회의 의결 과정 및 외환 혐의 등에 대한 조사를 이어갈 방침입니다. 국무회의 등과 관련한 조사에는 김정국 부장검사와 조재철 부장검사가 참여하게 됩니다."
"[날씨] 주말, 전국 가끔 비‥남부, 올 첫 폭염경보지금은 중부 지방을 중심으로 산발적으로 비가 내리고 있습니다. 특히 양주 등지에서는 세찬 비가 내리고 있고요. 차츰 남부 지방에",2025-06-28 12:24,기자명 없음,"지금은 중부 지방을 중심으로 산발적으로 비가 내리고 있습니다. 특히 양주 등지에서는 세찬 비가 내리고 있고요. 차츰 남부 지방에서도 비가 내리기 시작하겠습니다. 전국에 5에서 60밀리미터 가량 비가 내리겠는데요. 곳에 따라 시간당 20에서 30밀리미터 안팎으로 강하게 쏟아지는 곳도 있겠습니다. 더위는 더 심해지고 있습니다. 대구를 비롯한 영남 지방 곳곳에는 올해 첫 폭염 경보도 내려졌습니다. 오늘 낮 기온 경주가 35도, 전주 32도, 서울도 28도까지 오르겠는데요. 체감하는 더위는 훨씬 더 심할 것으로 보입니다. 남부 지방은 저녁이면 비가 그치겠는데요. 중부 지방은 내일 오전까지도 이어지겠습니다. 한낮 기온 서울 28도, 대구 34도까지 오르겠습니다. 날씨였습니다."
서울 상계동 아파트 단지에 멧돼지 출현‥사살어제저녁 6시 반쯤 서울 노원구 상계동 일대에 멧돼지 1마리가 나타났다는 신고가 119에 잇따라 접수됐습니다. 멧돼지로 인해 다친 사람은,2025-06-28 12:23,기자명 없음,"어제저녁 6시 반쯤 서울 노원구 상계동 일대에 멧돼지 1마리가 나타났다는 신고가 119에 잇따라 접수됐습니다. 멧돼지로 인해 다친 사람은 없었지만, 아파트 출입문 등이 일부 파손됐습니다. 소방당국은 전문 엽사를 투입해 저녁 8시쯤 인근에서 멧돼지를 발견해 사살했습니다."
"남부 폭염특보‥체감온도 33도 이상 '무더위'현재 남부지방을 중심으로 폭염특보가 내려진 가운데 오늘 낮은 기온이 올라 무덥겠습니다. 경북 영천·경산·경주, 군위를 제외한 대구, 경",2025-06-28 12:21,기자명 없음,"현재 남부지방을 중심으로 폭염특보가 내려진 가운데 오늘 낮은 기온이 올라 무덥겠습니다. 경북 영천·경산·경주, 군위를 제외한 대구, 경남 밀양에는 폭염경보가 내려졌고, 그 밖의 경상권 대부분과 전라권, 대전을 포함한 충청권 일부 등지에는 폭염주의보가 발효 중입니다. 기상청은 ""이 지역을 중심으로 최고체감온도가 33도 이상 오르겠고, 다른 지역도 31도 이상 오를 것으로 예상된다""며 온열질환 발생에 유의를 당부했습니다."
"윤석열, 결국 공개 출석‥이 시각 내란 특검윤석열 전 대통령이 오늘 오전 내란 특검에 출석했습니다. 12.3 내란 이후 처음으로 제대로 조사를 받게 되는 건데요. 특검 조사가 이뤄",2025-06-28 12:20,김지성 기자,"◀ 앵커 ▶ 윤석열 전 대통령이 오늘 오전 내란 특검에 출석했습니다. 12.3 내란 이후 처음으로 제대로 조사를 받게 되는 건데요. 특검 조사가 이뤄지고 있는 서울고등검찰청 연결해보겠습니다. ◀ 기자 ▶ 네, 윤석열 전 대통령은 오늘 오전 9시 56분쯤 내란특검 사무실이 있는 서울고등검찰청으로 출석했습니다. 남색 정장에 붉은 넥타이 차림으로 차량에서 내린 윤 전 대통령은 빠른 걸음으로 건물 안으로 향했는데요. 지하주차장으로 들어가지 않은 이유, 조은석 특검을 8년 만에 피의자로서 마주하게 된 데에 대한 소회, 그리고 진술 거부권을 행사할지 등을 묻는 취재진의 질문에 모두 굳게 입을 닫았습니다. 특검 조사에 대한 소회나, 국민들을 향한 사과는 단 한마디도 없었습니다. 윤 전 대통령은 당초 지하주차장을 통한 비공개 출석을 요구했는데요. 특검은 전직 대통령들도 모두 포토라인에 섰다며 윤 전 대통령에게만 특혜를 줄 수 없다고 못박고, 지하주차장 출입구를 모두 막아뒀습니다. 윤 전 대통령이 이번 소환에 불응할 경우, 특검이 다시 체포영장을 신청할 가능성이 높은 상황이었는데, 이 같은 부담 때문인지 윤 전 대통령은 결국 자신의 친정인 검찰청사 포토라인에 서게 됐습니다. 윤 전 대통령 변호인 측은 출석 직후 곧바로 입장문을 내고, 특검의 공개 소환에 대해 ‘망신 주기’라는 표현을 쓰며 강력하게 반발했습니다. ◀ 앵커 ▶ 12.3 내란 이후 단 한 번도 제대로 된 조사를 받은 적 없는 윤 전 대통령의 첫 특검 대면 조사가 이뤄진 건데요. 오늘 윤 전 대통령이 출석하자마자 바로 조사가 시작됐다고요? ◀ 기자 ▶ 네 우선 조사에 앞서 박억수, 장우성 특검보가 윤 전 대통령과 변호인들에게 10분가량 조사 일정에 대해 설명하고 조사 관련 의견을 청취했습니다. 조은석 특검과 윤석열 전 대통령은 따로 만나지 않은 것으로 확인됐습니다. 이후 10시 14분 조사가 시작됐습니다. 조사실은 서울고검 건물 6층에 마련됐는데, 일반 검사실과 비슷한 구조입니다. 공수처 체포영장 집행 방해 관련 수사를 해온 경찰청 중대범죄수사과장 박창환 총경이 조사를 진행하기로 했습니다. 특검은 우선 지난 1월 대통령 경호처를 동원해 공수처 체포영장 집행을 방해한 혐의를 집중적으로 추궁할 것으로 보입니다. 계엄 직후 군 사령관들의 비화폰 관련 정보를 삭제하라고 지시한 혐의와, 계엄 전후 국무회의 상황에 대해서도 강도 높은 조사가 이어질 것으로 보입니다. 오늘 윤 전 대통령에 대한 조사에는 채명성, 송진호 두 변호사가 입회했습니다. 윤 전 대통령 측이 진술거부권을 행사하고 있는지는 아직 확인되지 않았습니다. ◀ 앵커 ▶ 오늘 조사는 언제쯤 마무리될 것으로 예상됩니까? 야간까지 이어질 가능성도 있습니까? ◀ 기자 ▶ 조사가 장시간 이뤄질 가능성도 배제할 수는 없습니다. 박지영 내란특검 특검보는 국회 계엄해제 의결 의사 방해나 외환 관련 조사도 이뤄질 수 있다고 밝혔는데요. 다만 심야조사를 위해서는 윤 전 대통령 측의 동의가 필요해 상황을 지켜봐야 합니다. 특검은 윤 전 대통령 측이 동의만 한다면 심야조사를 진행할 계획입니다. 지금까지 내란특검 사무실이 마련된 서울고등검찰청에서 MBC뉴스 김지성입니다."
경남 진주시 고물상 화재‥인근 상가 5곳에 옮겨붙어오늘 아침 8시 20분쯤 경남 진주시 상평동에 있는 한 고물상에서 불이 나 한 시간 반 만에 꺼졌습니다. 이 불로 다친 사람은 없,2025-06-28 10:56,기자명 없음,"오늘 아침 8시 20분쯤 경남 진주시 상평동에 있는 한 고물상에서 불이 나 한 시간 반 만에 꺼졌습니다. 이 불로 다친 사람은 없었지만, 인근 상가 5곳에 불이 옮겨 붙으면서 완전히 타버렸고, 근처 타이어 장착 업체 건물도 일부 불에 탔습니다. 경찰과 소방 당국은 정확한 화재 원인을 조사하고 있습니다."
"남부지방 폭염특보‥최고체감온도 33도 이상 무더위현재 남부지방을 중심으로 폭염특보가 내려진 가운데 오늘 낮은 기온이 올라 무덥겠습니다. 경북 영천·경산·경주, 군위를 제외한 대구,",2025-06-28 10:52,기자명 없음,"현재 남부지방을 중심으로 폭염특보가 내려진 가운데 오늘 낮은 기온이 올라 무덥겠습니다. 경북 영천·경산·경주, 군위를 제외한 대구, 경남 밀양에는 폭염경보가 내려졌고, 그 밖의 경상권 대부분과 전라권, 대전을 포함한 충청권 일부 등지에는 폭염주의보가 발효중입니다. 기상청은 ""이 지역을 중심으로 최고체감온도가 33도 이상 오르겠고, 다른 지역도 31도 이상 오를 것으로 예상된다""며 온열질환 발생에 유의를 당부했습니다."
"윤 대리인단 ""허위·왜곡으로 가득한 정치적 수사 분쇄하겠다""윤석열 전 대통령 측이 내란 특검 조사에 출석하면서 ""허위와 왜곡으로 가득 찬 정치적 목적의 수사를 분쇄하겠다""는 입장을",2025-06-28 10:37,기자명 없음,"윤석열 전 대통령 측이 내란 특검 조사에 출석하면서 ""허위와 왜곡으로 가득 찬 정치적 목적의 수사를 분쇄하겠다""는 입장을 내놨습니다. 윤 전 대통령 법률대리인단은 입장문에서 ""변호인이 날짜와 시간의 조율을 요청했으나 이를 거부했고, 단순히 지하주차장으로 들어가는 문제로 축소시켜 전 국민을 피로하게 하고 있다""고 특검을 비난했습니다. 그러면서 ""절차적 다툼으로 진실을 밝히는 것에 장애가 생겨서는 안 되기에 조사에 응할 것""이라고 밝혔습니다. 대리인단은 특검의 소환 통보가 관련 규정을 어긴 것이라고 주장하면서 ""정치적 중립성과 공정한 수사의지에 대해 의문을 갖게 한다""고도 밝혔습니다. 윤 전 대통령 측은 특검의 소환 통보에 지하주차장을 통한 출입이 허용되지 않으면 출석하지 않겠다고 주장했다가 특검이 이를 일축하자 특검 사무실이 위치한 서울고검 현관을 통해 출석했습니다."
