제목,날짜,기자명,본문
"내란 특검 ""윤 전 대통령 조사 시작‥외환 혐의도 조사""12.3 내란 사건을 수사 중인 조은석 특별검사팀이 오늘 특검에 출석한 윤 전 대통령에 대해 곧바로 조사를 시작했다고 밝혔습",2025-06-28 10:20,기자명 없음,"12.3 내란 사건을 수사 중인 조은석 특별검사팀이 오늘 특검에 출석한 윤 전 대통령에 대해 곧바로 조사를 시작했다고 밝혔습니다. 내란 특검 박지영 특검보는 윤 전 대통령 출석 직후 언론 브리핑에서 ""먼저 우려하던 상황이 발생하지 않도록 협조해준 윤석열 전 대통령과 변호인단에 감사하다는 말씀 드린다""고 밝혔습니다. 이어 ""윤 전 대통령이 현관에 도착하자 장영표 특검 수사지원단장이 안내하고 박억수 특검보와 장우성 특검보가 윤 전 대통령과 변호인 측에 오늘 조사 일정에 대해서 간단히 설명한 후 조사실로 이동하였다""고 설명했습니다. 박지영 특검보는 ""조은석 특검은 아침 일찍 출근했다""면서도 ""윤 전 대통령과의 면담은 없었다""고 밝혔습니다. 박 특검보는 ""10시 14분경부터 조사를 시작했다""면서 ""조사실은 6층에 마련되었고 조사공간은 일반 검사실 구조와 유사하다""고 설명했습니다. 외환 혐의에 대한 조사도 이뤄지냐는 취재진의 질문에 박 특검보는 ""조사 시간에 따라 달라지겠지만 그 부분에 대해서도 조사할 생각이 있다""고 밝혔습니다. 또한 비상계엄 선포 당시 국무회의에 대해서도 조사가 이뤄질 거라고 설명했습니다."
"결국 현관으로 온 尹, 말 없이 고검청사 입장‥특검조사 곧 시작12·3 비상계엄 관련 내란·외환 사건을 수사 중인 조은석 특별검사팀이 곧 윤석열 전 대통령에 대해 첫 대면조사를 시",2025-06-28 10:13,기자명 없음,"12·3 비상계엄 관련 내란·외환 사건을 수사 중인 조은석 특별검사팀이 곧 윤석열 전 대통령에 대해 첫 대면조사를 시작합니다. 피의자 신분인 윤 전 대통령은 오늘 오전 9시 55분께 차량으로 서울고검 현관 앞에 도착했습니다. 윤 전 대통령은 지하 주차장으로 들어가지 않은 이유, 진술거부권을 행사할 것이냐는 취재진의 질문에 아무런 답을 하지 않고 곧장 청사 안으로 들어갔습니다. 이날 조사에 입회할 송진호·채명성 변호사도 윤 전 대통령과 동행했습니다. 앞서 윤 전 대통령 측은 조사실로 들어가는 모습을 공개할 수 없다며 지하주차장으로 들어가는 방식을 고집했지만, 결국 특검이 제시한 대로 현관으로 공개 출석했습니다."
"""지하로 출석은 안 돼""‥이 시각 내란 특검김지성",2025-06-28 10:11,기자명 없음,"사회 김지성 ""지하로 출석은 안 돼""‥이 시각 내란 특검 ""지하로 출석은 안 돼""‥이 시각 내란 특검 입력 2025-06-28 10:11 | 수정 2025-06-28 10:14 가 가 가 해당 기사를 북마크했습니다. 확인 내 북마크 보기 페이스북 트위터 카카오 스토리 카카오톡 밴드 링크 복사 본문 복사 레이어 닫기 Previous Next 전체재생 상세 기사보기 재생목록 연속재생 닫기 #윤석열 #내란특검 #출석 가 가 가 해당 기사를 북마크했습니다. 확인 내 북마크 보기 페이스북 트위터 카카오 스토리 카카오톡 밴드 링크 복사 본문 복사 레이어 닫기 이 기사 어땠나요? 좋아요 훌륭해요 슬퍼요 화나요 후속요청 당신의 의견을 남겨주세요 0 /300 등록 최신순 공감순 반대순 더보기 이시각 주요뉴스 많이 본 뉴스 MBC 포털 SNS 유튜브 분야별 추천 뉴스 관련 뉴스 인기 키워드 취재플러스 14F 엠빅뉴스"
"윤석열, '내란 특검' 첫 출석‥포토라인 서나?윤상문",2025-06-28 10:08,기자명 없음,"사회 윤상문 윤석열, '내란 특검' 첫 출석‥포토라인 서나? 윤석열, '내란 특검' 첫 출석‥포토라인 서나? 입력 2025-06-28 10:08 | 수정 2025-06-28 10:08 가 가 가 해당 기사를 북마크했습니다. 확인 내 북마크 보기 페이스북 트위터 카카오 스토리 카카오톡 밴드 링크 복사 본문 복사 레이어 닫기 Previous Next 전체재생 상세 기사보기 재생목록 연속재생 닫기 #윤석열 #특검 #출석 가 가 가 해당 기사를 북마크했습니다. 확인 내 북마크 보기 페이스북 트위터 카카오 스토리 카카오톡 밴드 링크 복사 본문 복사 레이어 닫기 이 기사 어땠나요? 좋아요 훌륭해요 슬퍼요 화나요 후속요청 당신의 의견을 남겨주세요 0 /300 등록 최신순 공감순 반대순 더보기 이시각 주요뉴스 많이 본 뉴스 MBC 포털 SNS 유튜브 분야별 추천 뉴스 관련 뉴스 인기 키워드 취재플러스 14F 엠빅뉴스"
"전 세계 영화인이 뽑은 21세기 최고의 영화는? <기생충>뉴욕타임스가 진행한 21세기 최고의 영화 투표에서, 봉준호 감독의 이 1위를 차지했습니다. 전 세계 영화감독과 배우, 평론",2025-06-27 20:26,임소정 기자,"◀ 앵커 ▶ 뉴욕타임스가 진행한 21세기 최고의 영화 투표에서, 봉준호 감독의 〈기생충〉이 1위를 차지했습니다. 전 세계 영화감독과 배우, 평론가들이 선택한 건데요. 〈살인의 추억〉과 〈올드보이〉까지, 한국영화 세 편이 100위 안에 포함됐습니다. ◀ 리포트 ▶ ""너는 계획이 다 있구나."" 반지하에서 피자상자를 접으며 살아가던 일가족이, 장남이 물어온 부잣집 과외 알바를 시작으로 대저택에 입성하며 벌어진 사건들. ""제시카 외동딸 일리노이 시카고 과 선배는 김진모 그는 네 사촌."" 빈부격차와 계층 문제를 날카롭게 파헤친 봉준호 특유의 유머와 풍자는, ""봉준호의 기생충!"" 칸의 장벽을 뛰어넘고, ""골든 글로브가 기생충에게 갑니다!"" 백인들의 잔치라 불리던 '골든글로브'와 아카데미까지 석권했습니다. 미국 '뉴욕타임스'가 전 세계 영화제작자와 감독, 배우 등 500명에게 2000년 이후 21세기 최고의 영화를 물어봤더니, 1위가 바로 우리 영화 〈기생충〉이었습니다. 뉴욕타임스는 ""폭넓은 코미디와 격렬한 사회 풍자 사이를 유연하게 넘나들며 피할 수 없는 비극적 폭력의 폭발로 모든 것을 불태운다""며 ""신자유주의의 참혹함에 대한 맹렬한 비판, 봉 감독의 유쾌하면서도 기괴하고 불안한 충격적인 영화""라고 총평했습니다. [봉준호/감독(2019년 5월)] ""함께 사는 형태라는 게 사실 여러 가지가 있는데 아름답고 우아한 '공생'이나 '상생'이 아니라 어쩔 수 없이 '기생'의 처지로 내몰리는 어떤 상황과 사건…"" 뉴욕타임스는 스트리밍 서비스의 출현 등 2000년부터 25년간 이어진 영화산업 격변의 시기를 어떤 영화가 헤쳐나갔는지 확인해보려고 조사를 벌였다고 설명했습니다. 43위에 오른 박찬욱 감독의 〈올드보이〉에 대해선 ""비틀린 스릴러의 오페라 같은 폭력성""이라고 한 줄로 요약했고, 봉준호 감독의 또 다른 영화 〈살인의 추억〉을 99위에 올리며, ""상상할 수 없는 악과 맞선 인간의 한계를 유머와 드라마를 교차하며 날카롭게 풀어냈다""고 평했습니다. 송강호 주연 〈넘버3〉 송능한 감독의 딸로도 알려진 한국계 캐나다 감독 셀린 송의 〈패스트 라이브즈〉는 86위에 올랐습니다. MBC뉴스 임소정입니다. 영상편집: 안윤선"
"17살 김세현, 프랑스 롱 티보 콩쿠르 우승조성진, 임윤찬의 뒤를 이을 또 한 명의 클래식 스타가 탄생했습니다. 17살의 나이로 프랑스 롱 티보 국제 콩쿠르에서 우승한 김세현 피아",2025-06-27 15:15,임소정 기자,"◀ 앵커 ▶ 조성진, 임윤찬의 뒤를 이을 또 한 명의 클래식 스타가 탄생했습니다. 17살의 나이로 프랑스 롱 티보 국제 콩쿠르에서 우승한 김세현 피아니스트인데요. 오는 8월엔 국내에서 관객들을 만납니다. 이번 주 문화계 소식, 임소정 기자가 전해드립니다. ◀ 리포트 ▶ 또 한 명 클래식계의 별이 떠올랐습니다. 지난 3월 프랑스 파리에서 열린 롱 티보 국제 콩쿠르에서 17살의 나이로 우승한 피아니스트 김세현. 지난 2001년 피아니스트 임동혁, 2022년 이혁 등이 우승한 적이 있지만, 청중상, 평론가상, 파리특별상까지 모두 휩쓴 건 김세현이 처음입니다. 김세현은 오는 8월 서울과 부산에서 열리는 첫 독주회를 앞두고, 어제 열린 기자간담회에서 다음 달 프랑스 혁명기념일에 파리에서 연주할 '4월의 파리에서' 등을 선보였습니다. 뉴잉글랜드 음악원에서 피아니스트 백혜선과 아시아 최초 쇼팽콩쿠르 우승자 당 타이 손을 사사하고 있는 그는 지난해엔 하버드 영문학과에도 합격했는데요. 글과 음악의 본질이 같다고 생각한다며 ""한 명이라도 변화시키는 음악가가 되고 싶다""는 포부를 밝혔습니다. [김세현/피아니스트] ""2천 명의 관객을 어떻게 놀라게 하는 그런 연주를 하는 것보다 한 두 명을 변화시키는 그런 연주를 하는 게…"" *** 소아마비와 교통사고의 후유증으로 평생 자신을 괴롭히던 고통을 예술로 승화시킨 비운의 예술가 프리다 칼로. 그녀의 일대기를 담은 뮤지컬 <프리다>가 세 번째 시즌으로 돌아왔습니다. 김소향과 김지우, 김히어라, 정유지가 프리다로, 댄서로 유명한 아이키가 조연으로 무대에 오릅니다. [전수미/뮤지컬 〈프리다〉 레플레하 역] ""요즘 시대에 많이 힘들잖아요. 저희 작품을 보고 많은 용기와 그리고 살아갈 힘을 또다시 (얻기를…)"" *** 1950년대부터 90년대까지 산업화와 민주화 시기, 한국 현대미술의 흐름을 한눈에 볼 수 있는 국립현대미술관 전시가 문을 열었습니다. 지난 5월 1900년에서 50년까지 한국 근대 미술작품을 선보였던 1부에 이은 2부에선 김환기, 박생광, 박서보, 서세옥, 이불, 이우환 등 세계 미술 시장에서 주목하는 작가 70여 명의 작품 110여 점을 만날 수 있는데요. 한 작가의 작품을 집중적으로 소개하는 '작가의 방'에선 영화 '기생충'의 음악가 정재일 감독과 협업한 음악도 들을 수 있습니다. MBC뉴스 임소정입니다."
[문화연예 플러스] 독일 오푸스 클래식 '올해의 기악 연주자' 수상피아니스트 조성진이 독일 클래식계의 권위 있는 상인 '오푸스 클래식'에서 '라벨: 피아노 독주 전곡집' 음반으로,2025-06-27 07:06,기자명 없음,"피아니스트 조성진이 독일 클래식계의 권위 있는 상인 '오푸스 클래식'에서 '라벨: 피아노 독주 전곡집' 음반으로 '올해의 기악 연주자' 부문 수상자로 선정됐습니다. 오푸스 클래식은 비영리단체인 독일 클래식 음악진흥협회가 주관하는 저명한 클래식 시상식인데요. 기악 연주자 부문 외에도 여자 가수와 남자 가수, 올해의 지휘자 등 30개 부문에서 수상자를 선정합니다. 시상식은 오는 10월 독일 베를린에서 열립니다. 문화연예플러스였습니다."
"[문화연예 플러스] 에스파, 신곡 뮤직비디오 제철소서 촬영걸그룹 에스파가 오늘 오후 신곡 '더티 워크'를 공개하는데요. 뮤직비디오 촬영지가 제철소로 알려지면서, 팬들의 호기심을 불",2025-06-27 07:03,기자명 없음,"걸그룹 에스파가 오늘 오후 신곡 '더티 워크'를 공개하는데요. 뮤직비디오 촬영지가 제철소로 알려지면서, 팬들의 호기심을 불러일으키고 있습니다. 드넓은 야적장과 중장비가 등장하는가 하면 동원된 보조출연자만 2백 명이 넘는다는데요. 팀 특유의 강렬한 사운드를 `쇠 맛`으로 표현해 온 에스파가, ""진짜 쇠 맛을 선보이는 게 아니냐""며 어떤 매력을 보여줄지 기대를 모으고 있습니다. 컴백에 앞서 에스파는 모로코에서 현지시간으로 24일 열린 음악 축제 `마와진 페스티벌`에서 K팝 걸그룹으로는 최초로 간판 출연자로 무대에 올랐는데요. 에스파 외에 윌 스미스와 50 센트(피프티 센트) 등 유명 스타들이 함께 축제 무대를 꾸몄습니다."
"[문화연예 플러스] '오징어 게임' 마지막 시리즈 오늘 공개넷플릭스 시리즈 '오징어 게임'이 오늘 시즌 3 공개로, 4년간의 여정에 마침표를 찍게 됐습니다. ""똑똑 누구십니까? 꼬",2025-06-27 07:01,기자명 없음,"넷플릭스 시리즈 '오징어 게임'이 오늘 시즌 3 공개로, 4년간의 여정에 마침표를 찍게 됐습니다. ""똑똑 누구십니까? 꼬마입니다.<잠시후 게임을 시작하겠습니다.>들어오세요."" '오징어 게임 3'가 오늘 오후 전 세계에서 일제히 공개됩니다. 시즌 3는 총 6편으로 전 시즌에서 반란에 실패한 뒤 다시 게임에 참가하게 된 성기훈의 이야기가 펼쳐지는데요. 포스터를 통해 마지막 대결이라고 밝힌 만큼, 성기훈과 프론트맨간 숨 막히는 대결이 그려질 걸로 예상됩니다. 과연 승자는 어떻게 가려질지 관심이 모아지고 있습니다. '오징어 게임' 시즌 3 공개 후 내일 오후 서울 광화문에서는 '오징어 게임'의 상징적인 캐릭터 영희와 핑크가드 등이 참가하는 퍼레이드가 열리고요. 이후엔 서울 시청 앞에서 황동혁 감독과 이정재·이병헌 등 주요 배우들이 팬들과 만납니다."
"[문화연예 플러스] 브래드 피트 주연 'F1 더 무비' 첫날 1위""포뮬러 1은 팀 스포츠고 그게 전통이에요. "" 배우 브래드 피트 주연의 레이싱 영화 'F1 더 무비'가 개봉과 동",2025-06-27 06:59,기자명 없음,"""포뮬러 1은 팀 스포츠고 그게 전통이에요.<안쪽으로 파고듭니다, 충돌!>"" 배우 브래드 피트 주연의 레이싱 영화 'F1 더 무비'가 개봉과 동시에 흥행 1위로 올라섰습니다. 지난 25일 개봉 첫날에만 8만 2천여 명이 관람했고, 속도감 있는 레이싱 장면으로 호평받고 있는데요. 영화는 한때 포뮬러원 차세대 유망주로 거론됐던 드라이버 소니가 신예 조슈아와 함께 F1 대회에 출전하며 벌어지는 일을 그렸습니다. 같은 날 개봉한 이선빈 주연의 공포 영화 '노이즈'는 관객 2만 8천여 명을 모아 2위를 기록했는데요. 이 작품은 층간 소음 문제로 늘 시끄러운 아파트 단지에서 갑자기 사라진 여동생을 찾아 나선 언니 주영의 이야기를 담았습니다. 신작 두 편이 동시에 개봉하면서 영화 '드래곤 길들이기'는 3위로, '하이파이브'는 4위로 밀려났습니다."
"[문화연예 플러스] 블랙핑크 전 세계 16개 도시 월드투어문화연예플러스입니다. 걸그룹 블랙핑크가 다음 달 국내를 시작으로 미국과 캐나다, 프랑스 등 전 세계 16개 도시에서 월드투",2025-06-27 06:57,기자명 없음,"문화연예플러스입니다. 걸그룹 블랙핑크가 다음 달 국내를 시작으로 미국과 캐나다, 프랑스 등 전 세계 16개 도시에서 월드투어로 팬들과 만나는데요. 이에 앞서 멤버 4명이 완전체로 뭉친 월드투어 예고 영상을 공개했습니다. 멤버 로제가 드넓은 사막에서 누군가에게 전화를 걸고 있고요. 이어 리사와 제니, 지수가 차례로 등장해 자동차를 타고 함께 여행을 떠납니다. 다이내믹한 사운드와 쭉 뻗은 도로를 질주하는 모습이, 서부 영화의 한 장면을 보는 것 같죠. 불과 27초 남짓한 예고 영상만으로도 월드투어를 기다리는 팬들의 기대감을 키우고 있는데요. 블랙핑크는 다음 달 5일과 6일, 경기 고양시에서 월드투어의 포문을 열고요. 이 자리에서 2년 8개월 만에 신곡도 처음으로 선보일 예정입니다."
"프로축구 경남FC 이강희, 오스트리아 명문 클럽 빈과 4년 계약프로축구 K리그2 경남의 미드필더 이강희가 오스트리아 명문인 아우스트리아 빈에 입단했습니다. 아우스트리아 빈은 ""23",2025-06-28 11:26,기자명 없음,"경남FC 팬들에게 인사하던 이강희 [연합뉴스/한국프로축구연맹 제공] 프로축구 K리그2 경남의 미드필더 이강희가 오스트리아 명문인 아우스트리아 빈에 입단했습니다. 아우스트리아 빈은 ""23살의 수비형 미드필더 이강희와 2029년 여름까지 4년간 계약했다""며 현지 시각 28일 팀 훈련에 참여한다""고 발표했습니다. 아우스트리아 빈 구단은 이강희에 대해 ""한국 청소년 대표로 이미 잠재력을 보여줬고, 특히 큰 키와 체격이 인상적""이라고 설명했습니다. 이강희는 ""어렸을 때부터 꿈꿔왔던 유럽 무대에 서게 돼 의욕이 생긴다""며 ""팀에 빠르게 적응해 출전 기회를 얻겠다""는 소감을 밝혔습니다. 1911년 창단한 아우스트리아 빈은 리그에서 24차례 우승한 강팀으로 지난 시즌에 리그 3위를 차지했습니다."
"임종훈-신유빈, WTT 자그레브 대회 결승 진출‥2주 연속 우승 도전탁구 혼합 복식 임종훈-신유빈 조가 월드테이블테니스 컨텐더 대회에서 결승에 진출해 2주 연속 우승에 도전합니다.",2025-06-28 11:24,기자명 없음,임종훈 - 신유빈 탁구 혼합 복식 임종훈-신유빈 조가 월드테이블테니스 컨텐더 대회에서 결승에 진출해 2주 연속 우승에 도전합니다. 임종훈-신유빈 조는 크로아티아에서 열린 혼합 복식 준결승에서 일본 선수를 3-0으로 완파했습니다. 지난주 슬로베니아 대회에서 혼합 복식 정상에 올랐던 임종훈-신유빈은 중국의 황유정-천이 조를 상대로 2주 연속 우승을 노립니다.
"고우석, 디트로이트 마이너리그 이적 후 첫 등판‥1이닝 1실점고우석이 미국 프로야구 디트로이트 산하 트리플A 팀으로 이적한 이후 첫 등판에서 1이닝 1실점을 기록했습니다. 고우석은",2025-06-28 11:11,기자명 없음,"고우석 고우석이 미국 프로야구 디트로이트 산하 트리플A 팀으로 이적한 이후 첫 등판에서 1이닝 1실점을 기록했습니다. 고우석은 시카고 화이트삭스 산하 샬럿 나이츠 전에 팀이 6-5로 뒤진 6회 2번째 투수로 등판했습니다. 첫 타자를 유격수 땅볼로 돌려세운 고우석은 다음 타자에게 안타를 내줬고 도루와 폭투로 2사 3루로 몰린 상황에서 적시타를 허용했습니다. 포심과 커터, 스플리터 등 19개의 공을 던진 고우석의 최고 구속은 152.6km로 측정됐습니다. 고우석은 지난 18일 마이애미 산하 마이너리그팀에서 방출된 뒤 1주일 만에 디트로이트와 마이너리그 계약을 맺었습니다."
