제목,날짜,기자명,본문
매경포럼,2025-06-28 15:35:25,안형칼럼,"오피니언뉴스 매경포럼 ""양극화·내부갈등 해소로 韓 역동성 찾아야"" 코리아다이나미즘포럼이 '대한민국, 넥스트 레벨 2'를 주제로 개최한 세미나에서 우리나라가 2000년대 이후 경제적 불평등과 양극화 심화로..."
"""국장이 이럴 리가 없는데…"" 청개구리 개미들 '눈물'",2025-06-28 15:19:12,신민경구독,결과가 18일 나왔다.조원씨앤아이가 스트레이트뉴스 의뢰로... 3 코스피 한달 상승률 11% 'G20 1위'…개미...수익률을 기록한 것으로 나타났다. 새 정부 정책 기대감과 외국인 수급 개선에 힘입은 결과로 분석...
‘숨 고르는’ 코스피…미리 보는 ‘어닝서프’ 종목은,2025-06-28 13:00:00,배준희,부근에서 보합세를 보이고 있다. [사진출처 = 연합뉴스] 코스피지수가 3년 9개월 만에 3100선을 돌파한...이후 처음 장중 3100선을 돌파했다. 풍부한 유동성과 정책 기대감을 타고 증권가에서는 올해 코스피 상단...
美증시 '트럼프 관세 충격'에서 완전히 회복…4개월만에 최고치(종합),2025-06-28 10:02:45,취소확인,"관련 뉴스 1 ""과거 비해 청년층 월세 비중 늘어…부동산 과열탓 주거양극화"" 국가통계연구원 보고서…""경제적 여력 없는 청년들은 사글세를 포함한 월세로 내몰려""수도권 집값 상승 등 영향으로 청년층 주거 환경..."
