제목,날짜,기자명,본문
"명문 인천고, 2연속 1회전 이변 희생양 될 뻔...울산공고BC에 3대2 진땀승",2025-06-28 06:08:10,미상,접근 제한으로 인해 내용을 가져올 수 없습니다.
"[공식발표] 日 축구 미쳤다! 하루에 빅리거 2명 탄생...190cm CB·혼혈 MF, 분데스 동반 입성",2025-06-28 06:08:00,미상,"[OSEN=고성환 기자] 일본 축구가 날이 갈수록 강해지고 있다. 이번엔 국가대표 센터백 마치다 고키(28)와 미드필더 후지타 조엘 치마(23)가 나란히 분데스리가에 입성했다.TSG 호펜하임은 28일(한국시간) 구단 홈페이지를 통해 ""일본 국가대표 수비수 마치다를 영입하며 수비진을 강화했다. 27세의 왼발잡이 센터백인 그는 벨기에 챔피언 로얄 위니옹 생질루"
"'역시 악마의 협상가' 레비, 절대 양보 안 한다...""로메로? 1123억 들고 와"" ATM 압박에도 단호",2025-06-28 06:05:00,미상,"[OSEN=고성환 기자] 다니엘 레비 회장다운 행보다. 토트넘 홋스퍼가 크리스티안 로메로(27)를 절대 싼 값에 놓아주지 않겠다는 각오다.영국 '텔레그래프'는 27일(한국시간) ""토트넘은 로메로를 헐값에 팔게 하려는 매각 압박에 굴하지 않고 있다. 토트넘은 그의 몸값으로 6000만 파운드(약 1123억 원) 이상을 원한다""라고 보도했다.토트넘 부주장이자 아"
